,Curvature,Speed,CarPosition,Class
5151,0.12031259387731552,216,355.2957458496094,Right
5152,0.20135565102100372,214,372.9472961425781,Right
5153,0.21145880222320557,212,367.95001220703125,Right
5154,0.1857142299413681,210,367.0168151855469,Right
5155,0.17181216180324554,208,384.510986328125,Right
5156,0.14501440525054932,207,362.666015625,Right
5157,0.1364382803440094,205,356.9771728515625,Right
5158,0.295245498418808,203,400.33636474609375,Right
5159,0.12784996628761292,201,370.1607971191406,Right
5160,0.1398189812898636,199,364.62554931640625,Right
5161,0.3041444718837738,197,407.2743225097656,Right
5162,0.2831723690032959,195,399.19122314453125,Right
5163,0.16105882823467255,193,372.2508544921875,Right
5164,0.1796451210975647,191,377.5583190917969,Right
5165,0.32590872049331665,189,400.399169921875,Right
5166,0.1763455867767334,187,386.5258483886719,Right
5167,0.1430099904537201,185,371.7420959472656,Right
5168,0.2700842022895813,183,403.6969909667969,Right
5169,0.28473353385925293,181,400.398193359375,Right
5170,0.14225640892982483,177,365.03582763671875,Right
5171,0.347627192735672,175,412.55462646484375,Right
5172,0.15386369824409485,173,389.1512451171875,Right
5173,0.1935713142156601,169,375.04205322265625,Right
5174,0.24844302237033844,166,374.8650207519531,Right
5175,0.2545918822288513,161,378.0194091796875,Right
5176,0.274484783411026,156,384.1048278808594,Right
5177,0.08740916848182678,151,349.4888610839844,Right
5178,0.1737714260816574,146,351.6009521484375,Right
5179,0.25738412141799927,141,373.93231201171875,Right
5180,0.17639175057411194,137,356.6331481933594,Right
5181,0.18734176456928253,135,356.796630859375,Right
5182,0.2091202288866043,133,352.9775390625,Right
5183,0.14183996617794037,131,344.35205078125,Right
5184,0.15876662731170654,129,370.1210021972656,Right
5185,0.12914098799228668,130,351.5526428222656,Right
5186,0.057726383209228516,132,331.500732421875,Right
5187,0.11900770664215088,133,338.0162048339844,Right
5188,-0.15824824571609497,135,319.23199462890625,Right
5189,0.08073291182518005,136,335.2836608886719,Right
5190,0.1881009042263031,138,351.6344909667969,Right
5191,0.0680745467543602,140,339.4200439453125,Right
5192,-0.14318466186523438,142,315.2151794433594,Right
5193,-0.012470138259232044,143,329.615966796875,Right
5194,0.07947689294815063,145,341.2347106933594,Right
5195,0.13945572078227997,146,333.92236328125,Right
5196,-0.0345742404460907,148,312.7768249511719,Straight
5197,-0.05970367416739464,150,295.0194091796875,Straight
5198,0.013398289680480957,151,331.3025817871094,Straight
5199,0.09381917119026184,153,327.080810546875,Straight
5200,-0.24299922585487366,155,285.83258056640625,Straight
